lat,lon,anomaly
-62.19895287958116,201.875,0.8656597
-62.19895287958116,206.875,0.83753204
-62.19895287958116,211.875,0.8270302
-62.19895287958116,216.875,0.9282551
-62.19895287958116,221.875,1.0959759
-62.19895287958116,226.875,1.1669388
-62.19895287958116,231.875,1.1423283
-62.19895287958116,236.875,1.1495895
-62.19895287958116,241.875,1.2080498
-62.19895287958116,246.875,1.277338
-62.19895287958116,251.875,1.3707714
-62.19895287958116,256.875,1.4587517
-62.19895287958116,261.875,1.5435581
-62.19895287958116,266.875,1.6290989
-62.19895287958116,271.875,1.6580639
-62.19895287958116,276.875,1.7050457
-62.19895287958116,281.875,1.8175755
-62.19895287958116,286.875,1.9859371
-62.19895287958116,291.875,2.2770386
-62.19895287958116,296.875,2.516245
-62.19895287958116,301.875,2.5686607
-62.19895287958116,306.875,2.4259605
-62.19895287958116,311.875,2.2998295
-62.19895287958116,316.875,2.1431599
-62.19895287958116,321.875,2.1012344
-62.19895287958116,326.875,2.133234
-62.19895287958116,331.875,2.16185
-62.19895287958116,336.875,2.2169456
-62.19895287958116,341.875,2.284275
-62.19895287958116,346.875,2.2948399
-62.19895287958116,351.875,2.2881107
-62.19895287958116,356.875,2.2927017
